 m,0,1,2,3,4,5,6
1,0.00422382,0.001477,0.00152802,0.00220895,0.00359797,0.0044589,0.00886893
10,0.0524199,0.0215919,0.019042,0.0150771,0.0159249,0.0125399,0.0194881
20,0.146512,0.0473199,0.0328631,0.01982,0.0224609,0.0301011,0.032269
30,0.301302,0.092011,0.04756,0.0328131,0.027935,0.0321999,0.0285039
40,0.510883,0.149961,0.080179,0.0339291,0.0445821,0.0387728,0.0553
50,0.774956,0.21891,0.0901508,0.0443671,0.0519671,0.0380259,0.0525241
60,1.09625,0.304767,0.148538,0.056987,0.0544801,0.055476,0.046407
70,1.47241,0.403969,0.12825,0.088613,0.0594139,0.06353,0.069047
80,1.90537,0.518362,0.23137,0.0885019,0.0864809,0.0581,0.0629232
90,2.39223,0.644568,0.197722,0.117178,0.090132,0.077451,0.078177
100,2.93609,0.786321,0.308104,0.122197,0.094451,0.079222,0.0866382
